id,company,code,kind,date_report,date_posted,date_source,dart_name,match,gi,sem,week,doc_kind,team,filename,orig_filename,bytes,status,post_url,pdf_url
5117,하이트맥주,103150,Equity Research,2010-04-03,2013-09-18,filename,하이트맥주,exact,,,,,,하이트맥주_103150_Equity Research_2010-04-03.pdf,100403_하이트맥주_3팀.pdf,824943,ok,http://snusmic.com/equity-research-%ed%95%98%ec%9d%b4%ed%8a%b8%eb%a7%a5%ec%a3%bc/,http://snusmic.com/wp-content/uploads/2020/11/100403_하이트맥주_3팀.pdf
5114,신세계푸드,031440,Equity Research,2010-04-03,2013-09-18,filename,신세계푸드,exact,,,,,,신세계푸드_031440_Equity Research_2010-04-03.pdf,100403_신세계푸드_2팀.pdf,1346215,ok,http://snusmic.com/equity-research-%ec%8b%a0%ec%84%b8%ea%b3%84%ed%91%b8%eb%93%9c/,http://snusmic.com/wp-content/uploads/2020/11/100403_신세계푸드_2팀.pdf
5111,CJ오쇼핑,NA,Equity Research,2010-04-03,2013-09-18,filename,,none,,,,,,CJ오쇼핑_NA_Equity Research_2010-04-03.pdf,100403_CJ오쇼핑_1팀.pdf,1086566,ok,http://snusmic.com/equity-research-cj%ec%98%a4%ec%87%bc%ed%95%91/,http://snusmic.com/wp-content/uploads/2020/11/100403_CJ오쇼핑_1팀.pdf
5107,바이오랜드,NA,Equity Research,2009-11-13,2013-09-18,filename,,none,,,,,,바이오랜드_NA_Equity Research_2009-11-13.pdf,091113_바이오랜드_4팀.pdf,928101,ok,http://snusmic.com/equity-research-%eb%b0%94%ec%9d%b4%ec%98%a4%eb%9e%9c%eb%93%9c/,http://snusmic.com/wp-content/uploads/2020/11/091113_바이오랜드_4팀.pdf
5104,STX엔진,077970,Equity Research,2009-11-14,2013-09-18,filename,STX엔진,exact,,,,,,STX엔진_077970_Equity Research_2009-11-14.pdf,091114_STX엔진_3팀.pdf,1081663,ok,http://snusmic.com/equity-research-stx%ec%97%94%ec%a7%84/,http://snusmic.com/wp-content/uploads/2020/11/091114_STX엔진_3팀.pdf
5101,넥센타이어,002350,Equity Research,2009-11-14,2013-09-18,filename,넥센타이어,exact,,,,,,넥센타이어_002350_Equity Research_2009-11-14.pdf,091114_넥센타이어_2팀.pdf,1567123,ok,http://snusmic.com/equity-research-%eb%84%a5%ec%84%bc%ed%83%80%ec%9d%b4%ec%96%b4/,http://snusmic.com/wp-content/uploads/2020/11/091114_넥센타이어_2팀.pdf
5098,동국S&C,100130,Equity Research,2009-11-14,2013-09-18,filename,동국S&C,exact,,,,,,동국S&C_100130_Equity Research_2009-11-14.pdf,091114_동국S_C_1팀.pdf,1261762,ok,http://snusmic.com/equity-research-%eb%8f%99%ea%b5%adsc/,http://snusmic.com/wp-content/uploads/2020/11/091114_동국S_C_1팀.pdf
5095,한농화성,011500,Equity Research,2009-11-06,2013-09-18,filename,한농화성,exact,,,,,,한농화성_011500_Equity Research_2009-11-06.pdf,091106_한농화성_4팀.pdf,822596,ok,http://snusmic.com/equity-research-%ed%95%9c%eb%86%8d%ed%99%94%ec%84%b1/,http://snusmic.com/wp-content/uploads/2020/11/091106_한농화성_4팀.pdf
5091,대한제분,001130,Equity Research,2009-11-06,2013-09-18,filename,대한제분,exact,,,,,,대한제분_001130_Equity Research_2009-11-06.pdf,091106_대한제분_2팀.pdf,1598173,ok,http://snusmic.com/equity-research-%eb%8c%80%ed%95%9c%ec%a0%9c%eb%b6%84/,http://snusmic.com/wp-content/uploads/2020/11/091106_대한제분_2팀.pdf
5088,맥쿼리인프라(MKIF),NA,Equity Research,2009-11-07,2013-09-18,filename,,none,,,,,,맥쿼리인프라(MKIF)_NA_Equity Research_2009-11-07.pdf,091107_맥쿼리인프라_3팀.pdf,1115263,ok,http://snusmic.com/equity-research-%eb%a7%a5%ec%bf%bc%eb%a6%ac%ec%9d%b8%ed%94%84%eb%9d%bcmkif/,http://snusmic.com/wp-content/uploads/2020/11/091107_맥쿼리인프라_3팀.pdf
5085,현대차,005380,Equity Research,2009-11-06,2013-09-18,filename,현대자동차,exact,,,,,,현대차_005380_Equity Research_2009-11-06.pdf,091106_현대차_1팀.pdf,2173149,ok,http://snusmic.com/equity-research-%ed%98%84%eb%8c%80%ec%b0%a8/,http://snusmic.com/wp-content/uploads/2020/11/091106_현대차_1팀.pdf
5082,농심,004370,Equity Research,2009-10-23,2013-09-18,filename,농심,exact,,,,,,농심_004370_Equity Research_2009-10-23.pdf,091023_농심_4팀.pdf,1049159,ok,http://snusmic.com/equity-research-%eb%86%8d%ec%8b%ac/,http://snusmic.com/wp-content/uploads/2020/11/091023_농심_4팀.pdf
5079,메디톡스,086900,Equity Research,2009-10-23,2013-09-18,filename,메디톡스,exact,,,,,,메디톡스_086900_Equity Research_2009-10-23.pdf,091023_메디톡스_3팀.pdf,1087629,ok,http://snusmic.com/equity-research-%eb%a9%94%eb%94%94%ed%86%a1%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2020/11/091023_메디톡스_3팀.pdf
5076,Victek,NA,Equity Research,2009-10-23,2013-09-18,filename,,none,,,,,,Victek_NA_Equity Research_2009-10-23.pdf,091023_Victek_1팀.pdf,2819134,ok,http://snusmic.com/equity-research-victek/,http://snusmic.com/wp-content/uploads/2020/11/091023_Victek_1팀.pdf
5073,한솔제지,213500,Equity Research,2009-10-16,2013-09-18,filename,한솔제지,exact,,,,,,한솔제지_213500_Equity Research_2009-10-16.pdf,091016_한솔제지_4팀.pdf,713255,ok,http://snusmic.com/equity-research-%ed%95%9c%ec%86%94%ec%a0%9c%ec%a7%80/,http://snusmic.com/wp-content/uploads/2020/11/091016_한솔제지_4팀.pdf
5070,한전KPS,051600,Equity Research,2009-10-17,2013-09-18,filename,한전KPS,exact,,,,,,한전KPS_051600_Equity Research_2009-10-17.pdf,091017_한전KPS_2팀.pdf,1398586,ok,http://snusmic.com/equity-research-%ed%95%9c%ec%a0%84kps/,http://snusmic.com/wp-content/uploads/2020/11/091017_한전KPS_2팀.pdf
5067,인선ENT,060150,Equity Research,2009-10-10,2013-09-18,filename,인선이엔티,exact,,,,,,인선ENT_060150_Equity Research_2009-10-10.pdf,091010_인선ENT_3팀.pdf,1318259,ok,http://snusmic.com/equity-research-%ec%9d%b8%ec%84%a0ent/,http://snusmic.com/wp-content/uploads/2020/11/091010_인선ENT_3팀.pdf
5064,하나투어,039130,Equity Research,2009-10-10,2013-09-18,filename,하나투어,exact,,,,,,하나투어_039130_Equity Research_2013-09-18_5064.pdf,091010_하나투어_2팀.pdf,1808808,ok,http://snusmic.com/equity-research-%ed%95%98%eb%82%98%ed%88%ac%ec%96%b4-3/,http://snusmic.com/wp-content/uploads/2020/11/091010_하나투어_2팀.pdf
5061,경농,002100,Equity Research,2009-10-23,2013-09-18,filename,경농,exact,,,,,,경농_002100_Equity Research_2009-10-23.pdf,091023_경농_1팀.pdf,1312226,ok,http://snusmic.com/equity-research-%ea%b2%bd%eb%86%8d/,http://snusmic.com/wp-content/uploads/2020/11/091023_경농_1팀.pdf
5058,진로의 IPO 이슈,NA,Equity Research,2009-05-27,2013-09-18,filename,,non-company,,,,,,진로의 IPO 이슈_NA_Equity Research_2009-05-27.pdf,090527_진로의IPO이슈_1팀.pdf,1414126,ok,http://snusmic.com/equity-research-%ec%a7%84%eb%a1%9c%ec%9d%98-ipo-%ec%9d%b4%ec%8a%88/,http://snusmic.com/wp-content/uploads/2020/11/090527_진로의IPO이슈_1팀.pdf
5055,퍼시스,016800,Equity Research,2009-05-21,2013-09-18,filename,퍼시스,exact,,,,,,퍼시스_016800_Equity Research_2009-05-21.pdf,090521_퍼시스_4팀.pdf,1657798,ok,http://snusmic.com/equity-research-%ed%8d%bc%ec%8b%9c%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2020/11/090521_퍼시스_4팀.pdf
5052,선광,003100,Equity Research,2009-05-16,2013-09-18,filename,선광,exact,,,,,,선광_003100_Equity Research_2009-05-16.pdf,090516_선광_5팀.pdf,1157632,ok,http://snusmic.com/equity-research-%ec%84%a0%ea%b4%91/,http://snusmic.com/wp-content/uploads/2020/11/090516_선광_5팀.pdf
5049,태경산업,NA,Equity Research,2009-05-16,2013-09-18,filename,,non-company,,,,,,태경산업_NA_Equity Research_2009-05-16.pdf,090516_태경산업_4팀.pdf,1494468,ok,http://snusmic.com/equity-research-%ed%83%9c%ea%b2%bd%ec%82%b0%ec%97%85/,http://snusmic.com/wp-content/uploads/2020/11/090516_태경산업_4팀.pdf
5046,한라레벨,NA,Equity Research,2009-05-15,2013-09-18,filename,,none,,,,,,한라레벨_NA_Equity Research_2009-05-15.pdf,090515_한라레벨_3팀.pdf,800326,ok,http://snusmic.com/equity-research-%ed%95%9c%eb%9d%bc%eb%a0%88%eb%b2%a8/,http://snusmic.com/wp-content/uploads/2020/11/090515_한라레벨_3팀.pdf
5043,케이피에프,024880,Equity Research,2009-05-21,2013-09-18,filename,케이피에프,exact,,,,,,케이피에프_024880_Equity Research_2009-05-21.pdf,090521_케이피에프_2팀.pdf,6244361,ok,http://snusmic.com/equity-research-%ec%bc%80%ec%9d%b4%ed%94%bc%ec%97%90%ed%94%84/,http://snusmic.com/wp-content/uploads/2020/11/090521_케이피에프_2팀.pdf
5040,한국알콜,017890,Equity Research,2009-05-16,2013-09-18,filename,한국알콜,exact,,,,,,한국알콜_017890_Equity Research_2009-05-16.pdf,090516_한국알콜_1팀.pdf,1538267,ok,http://snusmic.com/equity-research-%ed%95%9c%ea%b5%ad%ec%95%8c%ec%bd%9c/,http://snusmic.com/wp-content/uploads/2020/11/090516_한국알콜_1팀.pdf
5037,우리이티아이,NA,Equity Research,2009-05-09,2013-09-18,filename,,none,,,,,,우리이티아이_NA_Equity Research_2009-05-09.pdf,090509_우리이티아이_5팀.pdf,1199665,ok,http://snusmic.com/equity-research-%ec%9a%b0%eb%a6%ac%ec%9d%b4%ed%8b%b0%ec%95%84%ec%9d%b4/,http://snusmic.com/wp-content/uploads/2020/11/090509_우리이티아이_5팀.pdf
5034,삼영이엔씨,065570,Equity Research,2009-05-09,2013-09-18,filename,삼영이엔씨,exact,,,,,,삼영이엔씨_065570_Equity Research_2009-05-09.pdf,090509_삼영이엔씨_4팀.pdf,1680505,ok,http://snusmic.com/equity-research-%ec%82%bc%ec%98%81%ec%9d%b4%ec%97%94%ec%94%a8/,http://snusmic.com/wp-content/uploads/2020/11/090509_삼영이엔씨_4팀.pdf
5031,바이오스페이스,NA,Equity Research,2009-05-09,2013-09-18,filename,,none,,,,,,바이오스페이스_NA_Equity Research_2009-05-09.pdf,090509_바이오스페이스_2팀.pdf,2797562,ok,http://snusmic.com/equity-research-%eb%b0%94%ec%9d%b4%ec%98%a4%ec%8a%a4%ed%8e%98%ec%9d%b4%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2020/11/090509_바이오스페이스_2팀.pdf
5028,뷰웍스,100120,Equity Research,2009-05-09,2013-09-18,filename,뷰웍스,exact,,,,,,뷰웍스_100120_Equity Research_2009-05-09.pdf,090509_뷰웍스_1팀.pdf,1120757,ok,http://snusmic.com/equity-research-%eb%b7%b0%ec%9b%8d%ec%8a%a4/,http://snusmic.com/wp-content/uploads/2020/11/090509_뷰웍스_1팀.pdf
5024,자본시장과 금융투자업에 관한 법률,NA,Industry Report,2009-05-02,2013-09-18,filename,,non-company,,,,,,자본시장과 금융투자업에 관한 법률_NA_Industry Report_2009-05-02.pdf,090502_자본시장과금융투자업에관한법률_5팀.pdf,1022568,ok,http://snusmic.com/industry-report-%ec%9e%90%eb%b3%b8%ec%8b%9c%ec%9e%a5%ea%b3%bc-%ea%b8%88%ec%9c%b5%ed%88%ac%ec%9e%90%ec%97%85%ec%97%90-%ea%b4%80%ed%95%9c-%eb%b2%95%eb%a5%a0/,http://snusmic.com/wp-content/uploads/2020/11/090502_자본시장과금융투자업에관한법률_5팀.pdf
5021,모아텍,033200,Equity Research,2009-05-02,2013-09-18,filename,모아텍,exact,,,,,,모아텍_033200_Equity Research_2013-09-18_5021.pdf,090502_모아텍_3팀.pdf,832827,ok,http://snusmic.com/equity-research-%eb%aa%a8%ec%95%84%ed%85%8d/,http://snusmic.com/wp-content/uploads/2020/11/090502_모아텍_3팀.pdf
5018,아트라스BX,NA,Equity Research,2009-04-17,2013-09-18,filename,,none,,,,,,아트라스BX_NA_Equity Research_2009-04-17.pdf,090417_아트라스BX_3팀.pdf,587009,ok,http://snusmic.com/equity-research-%ec%95%84%ed%8a%b8%eb%9d%bc%ec%8a%a4bx/,http://snusmic.com/wp-content/uploads/2020/11/090417_아트라스BX_3팀.pdf
5015,청담러닝,NA,Equity Research,2009-04-17,2013-09-18,filename,,none,,,,,,청담러닝_NA_Equity Research_2009-04-17.pdf,090417_청담러닝_2팀.pdf,3262712,ok,http://snusmic.com/equity-research-%ec%b2%ad%eb%8b%b4%eb%9f%ac%eb%8b%9d/,http://snusmic.com/wp-content/uploads/2020/11/090417_청담러닝_2팀.pdf
5012,동원산업,NA,Equity Research,2009-04-11,2013-09-18,filename,,non-company,,,,,,동원산업_NA_Equity Research_2009-04-11.pdf,090411_동원산업_5팀.pdf,1329417,ok,http://snusmic.com/equity-research-%eb%8f%99%ec%9b%90%ec%82%b0%ec%97%85/,http://snusmic.com/wp-content/uploads/2020/11/090411_동원산업_5팀.pdf
5009,KCI,NA,Equity Research,2009-04-11,2013-09-18,filename,,none,,,,,,KCI_NA_Equity Research_2009-04-11.pdf,090411_KCI_4팀.pdf,1353197,ok,http://snusmic.com/equity-research-kci/,http://snusmic.com/wp-content/uploads/2020/11/090411_KCI_4팀.pdf
5006,성우전자,081580,Equity Research,2009-04-11,2013-09-18,filename,성우전자,exact,,,,,,성우전자_081580_Equity Research_2009-04-11.pdf,090411_성우전자_3팀.pdf,971832,ok,http://snusmic.com/equity-research-%ec%84%b1%ec%9a%b0%ec%a0%84%ec%9e%90/,http://snusmic.com/wp-content/uploads/2020/11/090411_성우전자_3팀.pdf
5003,호텔신라,008770,Equity Research,2009-04-11,2013-09-18,filename,호텔신라,exact,,,,,,호텔신라_008770_Equity Research_2009-04-11.pdf,090411_호텔신라_2팀.pdf,4930532,ok,http://snusmic.com/equity-research-%ed%98%b8%ed%85%94%ec%8b%a0%eb%9d%bc/,http://snusmic.com/wp-content/uploads/2020/11/090411_호텔신라_2팀.pdf
5000,경인양행,012610,Equity Research,2009-04-04,2013-09-18,filename,경인양행,exact,,,,,,경인양행_012610_Equity Research_2009-04-04.pdf,090404_경인양행_1팀.pdf,1339078,ok,http://snusmic.com/equity-research-%ea%b2%bd%ec%9d%b8%ec%96%91%ed%96%89/,http://snusmic.com/wp-content/uploads/2020/11/090404_경인양행_1팀.pdf
4997,태광,023160,Equity Research,2009-04-04,2013-09-18,filename,태광,exact,,,,,,태광_023160_Equity Research_2009-04-04.pdf,090404_태광_5팀.pdf,1223895,ok,http://snusmic.com/equity-research-%ed%83%9c%ea%b4%91/,http://snusmic.com/wp-content/uploads/2020/11/090404_태광_5팀.pdf
4994,예스이십사,NA,Equity Research,2009-04-04,2013-09-18,filename,,none,,,,,,예스이십사_NA_Equity Research_2009-04-04.pdf,090404_예스이십사_4팀.pdf,1297474,ok,http://snusmic.com/equity-research-%ec%98%88%ec%8a%a4%ec%9d%b4%ec%8b%ad%ec%82%ac/,http://snusmic.com/wp-content/uploads/2020/11/090404_예스이십사_4팀.pdf
4991,나우콤,NA,Equity Research,2009-04-03,2013-09-18,filename,,none,,,,,,나우콤_NA_Equity Research_2009-04-03.pdf,090403_나우콤_3팀.pdf,2024247,ok,http://snusmic.com/equity-research-%eb%82%98%ec%9a%b0%ec%bd%a4/,http://snusmic.com/wp-content/uploads/2020/11/090403_나우콤_3팀.pdf
4988,고영테크놀러지,098460,Equity Research,2009-04-04,2013-09-18,filename,고영,exact,,,,,,고영테크놀러지_098460_Equity Research_2009-04-04.pdf,090404_고영테크놀러지_2팀.pdf,1119904,ok,http://snusmic.com/equity-research-%ea%b3%a0%ec%98%81%ed%85%8c%ed%81%ac%eb%86%80%eb%9f%ac%ec%a7%80/,http://snusmic.com/wp-content/uploads/2020/11/090404_고영테크놀러지_2팀.pdf
