idx,date,code,company,title,target,opinion,analyst,broker,price_at,price_h,ret_6m,mkt_ret_6m,excess_6m,target_acc,target_hit,upside_at_pub,acc180,acc180,acc365
646173,2026-01-29,012330,현대모비스,시장의 관심은 액츄에이터로 귀결 현대모비스(012330) 시장의 관심은 액츄에이터로 귀결 시장의 관심은 액츄에이터로 귀결,580000,Buy,이상수,iM증권,457000.0,440000.0,-0.0372,0.1537,-0.1909,0.7586,0,0.2691,0.7586,0.7586,
646172,2026-01-29,000270,기아,결국 시장에 드러날 진가 기아(000270) 결국 시장에 드러날 진가 결국 시장에 드러날 진가,240000,Buy,이상수,iM증권,154900.0,121800.0,-0.2137,0.1537,-0.3674,0.5075,0,0.5494,0.5075,0.5075,
646170,2026-01-29,096770,SK이노베이션,배터리 적자를 정유 사업이 만회 SK이노베이션(096770) 배터리 적자를 정유 사업이 만회 배터리 적자를 정유 사업이 만회,130000,Buy,황성현,유진투자증권,113500.0,112700.0,-0.007,0.1537,-0.1607,0.8669,0,0.1454,0.8669,0.8669,
646169,2026-01-29,361610,SK아이이테크놀로지,장기간 적자 지속 전망 SK아이이테크놀로지(361610) 장기간 적자 지속 전망 장기간 적자 지속 전망,30000,Hold,황성현,유진투자증권,28800.0,13450.0,-0.533,0.1537,-0.6867,0.4483,0,0.0417,0.4483,0.4483,
646168,2026-01-29,000270,기아,4Q25 Review: HEV 공격적 확대 를 통한 관세 위기 극복 기아(000270) 4Q25 Review: HEV 공격적 확대 를 통한 관세 위기 극복 4Q25 Review: HEV 공격적 확대 를 통한 관세 위기 극복,170000,Buy,이재일,유진투자증권,154900.0,121800.0,-0.2137,0.1537,-0.3674,0.7165,0,0.0975,0.7165,0.7165,
646164,2026-01-29,012330,현대모비스,4Q25 Review: 탄탄한 실적과 로봇 사업 기대감 현대모비스(012330) 4Q25 Review: 탄탄한 실적과 로봇 사업 기대감 4Q25 Review: 탄탄한 실적과 로봇 사업 기대감,560000,Buy,이재일,유진투자증권,457000.0,440000.0,-0.0372,0.1537,-0.1909,0.7857,0,0.2254,0.7857,0.7857,
646163,2026-01-29,035250,강원랜드,느리지만 꾸준하게 강원랜드(035250) 느리지만 꾸준하게 느리지만 꾸준하게,22000,Buy,이현지,유진투자증권,17630.0,14350.0,-0.186,0.1537,-0.3397,0.6523,0,0.2479,0.6523,0.6523,
646162,2026-01-29,028260,삼성물산,보유지분 재평가와 펀더멘탈 강화 삼성물산(028260) 보유지분 재평가와 펀더멘탈 강화 보유지분 재평가와 펀더멘탈 강화,380000,Buy,한병화,유진투자증권,303000.0,305000.0,0.0066,0.1537,-0.1471,0.8026,0,0.2541,0.8026,0.8026,
646159,2026-01-29,051900,LG생활건강,4Q25 Review: 기다림의 시간 LG생활건강(051900) 4Q25 Review: 기다림의 시간 4Q25 Review: 기다림의 시간,300000,Hold,오린아,LS증권,266500.0,255500.0,-0.0413,0.1537,-0.195,0.8517,0,0.1257,0.8517,0.8517,
646158,2026-01-29,096770,SK이노베이션,"배터리 영향이 컸던 영업이익, 더 컸던 영업외손익 SK이노베이션(096770) 배터리 영향이 컸던 영업이익, 더 컸던 영업외손익 배터리 영향이 컸던 영업이익, 더 컸던 영업외손익",97000,Hold,정경희,LS증권,113500.0,112700.0,-0.007,0.1537,-0.1607,0.8381,1,-0.1454,0.8381,0.8381,
