pair_id,label,company,code,date,target,opinion,analyst,broker,acc365,gap_days,acc_diff,idx,title
33,hi,삼성화재,000810,2025-02-13,450000,Buy,전배승,LS증권,0.7578,1,0.372,638921,CSM 조정 폭 확대 삼성화재(000810) CSM 조정 폭 확대 CSM 조정 폭 확대
33,lo,삼성화재,000810,2025-02-12,360000,Hold,김도하,한화투자증권,0.3861,1,0.372,638895,"우선주 접근은 유효할 것 삼성화재(000810) 우선주 접근은 유효할 것 4Q24 지배 순이익 2,071억원(+18% YoY), 기대치 하회 우"
34,hi,삼성중공업,010140,2025-02-06,22000,Buy,배기연,메리츠증권,0.75,0,0.368,638728,"4Q Review: 그럼에도 탑픽을 유지하는 이유, FLNG 삼성중공업(010140) 4Q Review: 그럼에도 탑픽을 유지하는 이유, FLN"
34,lo,삼성중공업,010140,2025-02-06,17000,매수,한승한,SK증권,0.3824,0,0.368,638718,FLNG가 끌어올린&올릴 실적 삼성중공업(010140) FLNG가 끌어올린&올릴 실적 FLNG가 끌어올린&올릴 실적
35,hi,현대건설,000720,2024-07-22,51000,Buy,장윤석,유안타증권,0.6843,0,0.362,633077,긍정과 부정이 혼재된 수익성 현대건설(000720) 긍정과 부정이 혼재된 수익성 긍정과 부정이 혼재된 수익성
35,lo,현대건설,000720,2024-07-22,40000,매수,조정현,IBK투자증권,0.3225,0,0.362,633057,2Q24 Review: 기대치 하회 현대건설(000720) 2Q24 Review: 기대치 하회 2Q24 Review: 기대치 하회
36,hi,카카오뱅크,323410,2024-05-08,23000,Hold,김도하,한화투자증권,0.9957,0,0.354,630831,"성장의 부가가치를 증명해야 할 때 카카오뱅크(323410) 성장의 부가가치를 증명해야 할 때 1Q24 당기순이익 1,112억원(+9% YoY),"
36,lo,카카오뱅크,323410,2024-05-08,36000,Buy,조아해,메리츠증권,0.6417,0,0.354,630850,"1Q24 Review: 방향성 변화 카카오뱅크(323410) 1Q24 Review: 방향성 변화 1Q24 당기순이익 1,112억원: 컨센서스 부"
37,hi,SK텔레콤,017670,2025-07-07,66000,매수,김태현,IBK투자증권,0.7091,0,0.348,642227,초유의 사태 SK텔레콤(017670) 초유의 사태 초유의 사태
37,lo,SK텔레콤,017670,2025-07-07,52000,Hold,이찬형,유진투자증권,0.3615,0,0.348,642214,아직 끝이 아닙니다 SK텔레콤(017670) 아직 끝이 아닙니다 아직 끝이 아닙니다
