label,file,pages,chars,hangul_ratio,images,quality,first_page_chars,num_density,formal_score,formal_score_1p,매출_추정,영업이익_추정,순이익_추정,분기_추정,추정연도_표기,목표주가_명시,투자의견_명시,업종대비_관점,추정치_조정명시,밸류에이션_배수,리스크_명시,가정_민감도,매출_추정__1p,영업이익_추정__1p,순이익_추정__1p,분기_추정__1p,추정연도_표기__1p,목표주가_명시__1p,투자의견_명시__1p,업종대비_관점__1p,추정치_조정명시__1p,밸류에이션_배수__1p,리스크_명시__1p,가정_민감도__1p
hi,SK오션플랜트_100090_LS증권_이주영_2024-08-16_633911,5,9432,0.232,7,정상,2148,101.25,11,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
hi,"SK오션플랜트_100090_메리츠증권_문경원,윤동준_2024-05-20_631286",5,10694,0.219,2,정상,2234,93.6,8,7,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0
hi,SK오션플랜트_100090_메리츠증권_문경원_2024-08-16_633876,5,10422,0.208,2,정상,2186,95.47,8,8,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1
hi,SK오션플랜트_100090_메리츠증권_문경원_2024-11-15_636697,5,10408,0.211,2,정상,2235,94.45,7,7,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0
hi,SK이노베이션_096770_한화투자증권_윤용식_2024-02-07_627868,7,15809,0.172,1,정상,2244,98.87,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,SK텔레콤_017670_IBK투자증권_김태현_2025-07-07_642227,7,13873,0.218,9,정상,2416,94.79,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,"SK하이닉스_000660_SK증권_한동희,박제민_2024-10-04_635220",5,12164,0.159,12,정상,2256,104.82,10,10,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
hi,"SK하이닉스_000660_SK증권_한동희,박제민_2024-11-28_637074",5,11180,0.176,14,정상,2271,101.07,11,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
hi,고려아연_010130_SK증권_이규익_2024-06-25_632309,6,9835,0.206,14,정상,2240,106.76,10,10,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
hi,고려아연_010130_메리츠증권_장재혁_2024-01-16_627207,5,12753,0.185,2,정상,2338,90.17,8,8,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
hi,고려아연_010130_하이투자증권_김윤상_2024-01-16_627224,4,6225,0.284,4,정상,1443,112.61,9,8,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0
hi,넷마블_251270_메리츠증권_이효진_2024-05-10_630960,6,12000,0.24,2,정상,2338,83.75,9,8,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1
hi,넷마블_251270_메리츠증권_이효진_2024-05-30_631693,47,69619,0.238,92,정상,34,113.76,10,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hi,두산_000150_메리츠증권_양승수_2025-07-28_642733,13,20625,0.171,5,정상,2523,89.65,10,9,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
hi,롯데쇼핑_023530_한화투자증권_이진협_2025-05-12_641028,6,11406,0.212,2,정상,2174,103.54,9,9,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
hi,"비에이치_090460_SK증권_박형우,권민규_2025-05-09_640891",8,10335,0.217,26,정상,2167,114.18,10,10,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
hi,삼성E&A_028050_LS증권_김세련_2025-04-25_640666,4,10111,0.21,6,정상,2226,99.69,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,삼성SDI_006400_iM증권_정원석_2025-04-02_639975,7,12796,0.249,8,정상,2631,98.39,10,10,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
hi,"삼성전자_005930_IBK투자증권_김운호,강민구_2025-01-13_638011",6,17365,0.125,6,정상,2388,104.06,10,8,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
hi,삼성중공업_010140_메리츠증권_배기연_2025-01-08_637882,5,12505,0.178,2,정상,2316,104.2,8,7,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0
hi,삼성중공업_010140_메리츠증권_배기연_2025-02-06_638728,9,17689,0.333,2,정상,2242,65.58,10,8,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
hi,삼성중공업_010140_상상인증권_이서연_2025-01-13_638071,4,8084,0.243,171,정상,1734,87.58,8,8,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
hi,삼성중공업_010140_하이투자증권_변용진_2024-07-26_633223,5,9416,0.281,5,정상,2653,83.79,11,10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
hi,삼성화재_000810_LS증권_전배승_2025-02-03_638560,5,7776,0.264,9,정상,2214,87.32,7,5,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0
hi,삼성화재_000810_LS증권_전배승_2025-02-13_638921,5,9640,0.228,5,정상,2224,103.84,10,8,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1
hi,삼성화재_000810_SK증권_설용진_2025-02-03_638584,5,7931,0.243,16,정상,2248,81.83,9,7,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0
