label,analyst,broker,sector,award,both_awards,date,company,code,opinion,subtitle,target,price_then,pid
award_winner,김선우,메리츠증권,반도체,한경,,2025-04-25,SK하이닉스,000660,매수,업사이클 내 차별화된 선도력,270000,1718000,792764
award_winner,김선우,메리츠증권,반도체,한경,,2025-04-25,LG디스플레이,034220,,"1Q25 실적 Review, 설명회 Q&A 정리",0,9210,792749
award_winner,김선우,메리츠증권,반도체,한경,,2025-04-08,삼성전자,005930,,1Q25P : MX 선출고 효과 vs 반도체 회복 지연,0,262500,791320
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,LG전자,066570,,2Q26 실적발표 컨퍼런스콜 정리,0,162100,837676
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,LG전자,066570,매수,이제는 변화를 인정할 때,220000,162100,837674
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,삼성전기,009150,매수,독보적으로 가팔라지는 이익의 기울기,2100000,1142000,837673
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-31,해성디에스,195870,매수,실적과 주가의 괴리를 기회로,70000,48200,837672
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-30,삼성전기,009150,,2Q26 실적 발표 정리,0,1142000,837551
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-28,PI첨단소재,178920,,2Q26 실적발표 컨퍼런스콜 정리,0,17820,837227
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-28,두산,000150,매수,새로운 매력 발산 시작,2400000,1170000,837131
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-28,LG이노텍,011070,매수,걱정말아요 그대,1200000,514000,837130
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-27,기가비스,420770,,기대보다 빠르게 채워지는 곳간,0,103500,836941
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-24,KH바텍,060720,매수,와이드 폴드의 주인공 + 로봇,16000,9710,836765
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-23,삼성전기,009150,매수,"새로운 수요, 새로운 이익의 기울기",3000000,1142000,836642
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-21,대덕전자,353200,매수,이제 웃어요,200000,96800,836451
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-20,샘씨엔에스,252990,Not Rated,흐름이 꺾이지 않는다,0,10980,836350
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-16,덕산하이메탈,077360,Not Rated,메모리·ABF 병목 소재로서의 재평가 기대,0,8760,836227
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-13,이수페타시스,007660,매수,어느 때보다 편안해진 주가,160000,74500,835812
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-13,네오티스,085910,Not Rated,"주가는 조정, 드릴비트 쇼티지는 심화",0,15850,835811
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-13,타이거일렉,219130,Not Rated,체급이 달라진다,0,60600,835809
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-09,아바텍,149950,매수,MLCC Super Cycle의 숨은 진주,16000,8010,835589
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-07,LG전자,066570,매수,로보틱스+데이터센터 쿨링 시스템 > 애플카,260000,162100,825334
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-02,선익시스템,171090,매수,"주가는 조정, 채워지는 곳간",83000,59300,825122
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-07-01,삼성전기,009150,매수,새로운 MLCC 역사의 시작,3000000,1142000,824972
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-30,LG이노텍,011070,매수,"숫자로 방어하고, 기울기로 재평가된다",1400000,514000,824885
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-29,뉴프렉스,085670,매수,"올해는 메모리 역풍, 그래도 2027년은 반등",6300,2740,824796
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-29,비에이치,090460,매수,"부담은 선반영, 기회는 이제 개화",32000,15070,824795
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-26,티엘비,356860,매수,메모리 업사이클에 더해지는 AI 프리미엄,130000,26400,824744
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-23,두산,000150,매수,광모듈 시대의 숨겨진 주역,2600000,1170000,824566
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-22,기가비스,420770,매수,사이클의 규모가 다르다,190000,103500,824508
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-22,삼성전기,009150,매수,이번엔 보폭이 다르다,2800000,1142000,824507
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-18,한솔테크닉스,004710,,윌테크놀러지 인수완료 코멘트,0,6990,824409
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-17,하이비젼시스템,126700,Not Rated,"ESS로 증명하고, 본업은 돌아선다",0,9780,824346
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-16,대덕전자,353200,매수,아직도 전반전,200000,96800,824296
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-10,티엘비,356860,매수,고부가 모듈 중심 체질 개선 지속,130000,26400,824055
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-10,대덕전자,353200,매수,처음 맞이하는 트리플 업사이클,190000,96800,824054
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-10,LG이노텍,011070,매수,ABF 증설 사이클의 포문을 열다,1400000,514000,824053
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-10,기가비스,420770,매수,"가보지 않은 길, 경험해보지 못한 규모",170000,103500,824052
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-10,심텍,222800,매수,SoCAMM+ LPDDR 업사이클의 주인공,190000,82900,824050
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-10,코리아써키트,007810,매수,이번 PCB 업사이클의 새로운 주역,170000,46450,824048
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-10,삼성전기,009150,매수,선점 경쟁의 주인공,2400000,1142000,824047
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-04,삼성전기,009150,매수,중간점검,2100000,1142000,823746
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-06-01,네오티스,085910,Not Rated,끊임없는 러브콜,0,15850,823624
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-05-29,코리아써키트,007810,매수,여전히 배고프다,160000,46450,823554
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-05-29,LG이노텍,011070,매수,선명해진 다음 경로,1300000,514000,823553
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-05-28,해성디에스,195870,매수,하나씩 맞춰지는 성장 퍼즐,113000,48200,823386
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-05-28,세코닉스,053450,매수,여전히 안갯속,6000,3255,823385
award_winner,양승수,메리츠증권,전기전자·스마트폰,한경,,2026-05-27,삼성전기,009150,매수,MLCC 너마저,1900000,1142000,823282
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-31,POSCO홀딩스,005490,매수,점차 좋아지는 실적,460000,312500,837609
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-31,포스코인터내셔널,047050,매수,견고한 실적 체력을 또 증명,80000,52200,837606
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-31,세아베스틸지주,001430,매수,기대 요인들이 여럿 존재,50000,33300,837605
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-23,LX인터내셔널,001120,매수,우호적인 영업환경 지속 중,60000,37400,836610
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-23,포스코인터내셔널,047050,매수,견고한 실적이 가져다 줄 기회,84000,52200,836609
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-02,호텔신라,008770,매수,수익성 중심 전략이 가시화도는 시점,67000,43550,825117
