pair_id,label,company,code,date,analysts,broker,opinion,target,price_then,gap_days,pid,report_url
21,winner,삼성 E&A,028050,2026-07-24,"장문준,강민창",KB증권,매수유지,71000,43800,0,836675,https://www.equity.co.kr/research/researchPop.do?P_ID=836675
21,control,삼성 E&A,028050,2026-07-24,이상호,교보증권,매수유지,67000,43800,0,836825,https://www.equity.co.kr/research/researchPop.do?P_ID=836825
22,winner,삼성전자,005930,2026-07-31,"김선우,우서현",메리츠증권,매수,500000,262500,0,837658,https://www.equity.co.kr/research/researchPop.do?P_ID=837658
22,control,삼성전자,005930,2026-07-31,"이종욱,김경빈",삼성증권,매수,400000,262500,0,837829,https://www.equity.co.kr/research/researchPop.do?P_ID=837829
23,winner,삼성전자,005930,2026-07-07,"김선우,우서현",메리츠증권,,0,262500,0,835380,https://www.equity.co.kr/research/researchPop.do?P_ID=835380
23,control,삼성전자,005930,2026-07-07,"채민숙,김연준",한국투자증권,매수,590000,262500,0,835402,https://www.equity.co.kr/research/researchPop.do?P_ID=835402
24,winner,삼양식품,003230,2026-07-21,"박상준,권용일",키움증권,매수유지,1850000,1168000,0,836511,https://www.equity.co.kr/research/researchPop.do?P_ID=836511
24,control,삼양식품,003230,2026-07-21,장지혜,DS투자증권,매수,1900000,1168000,0,836519,https://www.equity.co.kr/research/researchPop.do?P_ID=836519
25,winner,삼양식품,003230,2026-05-14,최고운,한국투자증권,매수,1850000,1168000,0,822196,https://www.equity.co.kr/research/researchPop.do?P_ID=822196
25,control,삼양식품,003230,2026-05-14,"장지혜,김시현",DS투자증권,매수,1900000,1168000,0,822173,https://www.equity.co.kr/research/researchPop.do?P_ID=822173
26,winner,세아베스틸지주,001430,2026-07-31,"박성봉,김승규",하나증권,매수유지,62000,33300,0,837633,https://www.equity.co.kr/research/researchPop.do?P_ID=837633
26,control,세아베스틸지주,001430,2026-07-31,강민아,대신증권,매수유지,61700,33300,0,837847,https://www.equity.co.kr/research/researchPop.do?P_ID=837847
27,winner,세아베스틸지주,001430,2026-07-31,"백재승,최승환",삼성증권,매수,50000,33300,0,837605,https://www.equity.co.kr/research/researchPop.do?P_ID=837605
27,control,세아베스틸지주,001430,2026-07-31,김진범,상상인증권,매수유지,62000,33300,0,837824,https://www.equity.co.kr/research/researchPop.do?P_ID=837824
28,winner,신세계,004170,2026-05-26,주영훈,NH투자증권,매수,660000,423000,0,823205,https://www.equity.co.kr/research/researchPop.do?P_ID=823205
28,control,신세계,004170,2026-05-26,유성만,리딩투자증권,매수,700000,423000,0,823139,https://www.equity.co.kr/research/researchPop.do?P_ID=823139
29,winner,신세계,004170,2026-05-13,"박상준,권용일",키움증권,매수유지,600000,423000,0,821925,https://www.equity.co.kr/research/researchPop.do?P_ID=821925
29,control,신세계,004170,2026-05-13,배송이,미래에셋증권,매수유지,600000,423000,0,822033,https://www.equity.co.kr/research/researchPop.do?P_ID=822033
30,winner,신한지주,055550,2026-07-24,김현수,상상인증권,매수유지,145000,100700,0,836847,https://www.equity.co.kr/research/researchPop.do?P_ID=836847
30,control,신한지주,055550,2026-07-24,정태준,미래에셋증권,매수유지,131000,100700,0,836854,https://www.equity.co.kr/research/researchPop.do?P_ID=836854
31,winner,신한지주,055550,2026-07-24,"조아해,공건희",메리츠증권,매수,143000,100700,0,836761,https://www.equity.co.kr/research/researchPop.do?P_ID=836761
31,control,신한지주,055550,2026-07-24,유준석,흥국증권,매수유지,145000,100700,0,836845,https://www.equity.co.kr/research/researchPop.do?P_ID=836845
32,winner,케이티앤지,033780,2026-07-21,"박상준,권용일",키움증권,매수유지,220000,179100,0,836509,https://www.equity.co.kr/research/researchPop.do?P_ID=836509
