label,score,company,code,subtitle,date,opinion,analyst,broker,target_price,price_then,filename,bytes,pid,title,pdf_url
good,1120,삼성전기,009150,"[1Q26 Review] 2Q 더 좋다~ FC BGA(AI향), 호황 확대!",2026-05-04,매수유지,"박강호,서지원",대신증권,"920,000","1,142,000","삼성전기_009150_[1Q26 Review] 2Q 더 좋다~ FC BGA(AI향), 호황 확대!_2026-05-04.pdf",542852,820500,"삼성전기 - [1Q26 Review] 2Q 더 좋다~ FC BGA(AI향), 호황 확대!",https://www.equity.co.kr/upfile/research/2026/04/30/27a9e32a50c5f73a9c1299a3440b62fd0f48ec79.pdf
good,532,SK하이닉스,000660,하반기 모멘텀 둔화,2026-04-27,보유,이민희,BNK투자증권,"1,300,000","1,718,000",SK하이닉스_000660_하반기 모멘텀 둔화_2026-04-27.pdf,478397,819835,SK하이닉스 - 하반기 모멘텀 둔화,https://www.equity.co.kr/upfile/research/2026/04/27/2d1a08a5bbac9a43b35fc9520b0f37614c0c8784.pdf
good,530,삼성전기,009150,가지 않은 길,2026-02-23,매수유지,"박상현,이재성",한국투자증권,"440,000","1,142,000",삼성전기_009150_가지 않은 길_2026-02-23.pdf,515489,815814,삼성전기 - 가지 않은 길,https://www.equity.co.kr/upfile/research/2026/02/20/c4698f31abf01682eb4a00fe2f68bf2e3118a3ba.pdf
good,515,삼성전기,009150,"반도체의 궤적을 따라갈 MLCC, 슈퍼사이클은 이제 시작",2026-03-17,매수,이창민,KB증권,"460,000","1,142,000","삼성전기_009150_반도체의 궤적을 따라갈 MLCC, 슈퍼사이클은 이제 시작_2026-03-17.pdf",150250,816956,"삼성전기 - 반도체의 궤적을 따라갈 MLCC, 슈퍼사이클은 이제 시작",https://www.equity.co.kr/upfile/research/2026/03/17/f0e01825bdd82319c320b1da81bd105d95fd1cda.pdf
good,466,신성이엔지,011930,펀더멘털 회복과 불붙는 신사업,2026-02-27,매수유지,"김학준,이하곤",키움증권,"2,700","14,100",신성이엔지_011930_펀더멘털 회복과 불붙는 신사업_2026-02-27.pdf,707243,816236,신성이엔지 - 펀더멘털 회복과 불붙는 신사업,https://www.equity.co.kr/upfile/research/2026/02/27/49e3d2e4ed80a20292199c14978f2885c5b5ee02.pdf
good,265,삼성생명,032830,4Q25 Review: 선택의 기로,2026-02-23,매수유지,홍예란,한국투자증권,"235,000","311,500",삼성생명_032830_4Q25 Review 선택의 기로_2026-02-23.pdf,432131,815909,삼성생명 - 4Q25 Review: 선택의 기로,https://www.equity.co.kr/upfile/research/2026/02/23/d1b5891b512fa18957d9bcc072a24514f8b048511.pdf
good,265,삼성생명,032830,배당정책의 핵심은 DPS의 단계적 상승,2026-02-23,보유,이병건,DB증권,"235,000","311,500",삼성생명_032830_배당정책의 핵심은 DPS의 단계적 상승_2026-02-23.pdf,1044606,815893,삼성생명 - 배당정책의 핵심은 DPS의 단계적 상승,https://www.equity.co.kr/upfile/research/2026/02/23/53c62cb9900b089e2a9b55ec798e80f4fffc5e20.pdf
good,256,LG생활건강,051900,단기 실적 눈높이는 낮게,2026-07-13,보유,허제나,DB증권,"250,000","287,000",LG생활건강_051900_단기 실적 눈높이는 낮게_2026-07-13.pdf,742491,835903,LG생활건강 - 단기 실적 눈높이는 낮게,https://www.equity.co.kr/upfile/research/2026/07/13/c31235411e5bb16bd4b8c46b730137047677afb7.pdf
