label,rank,score,company,code,subtitle,date,opinion,analyst,broker,target_price,price_then,pid
bad,77,-85,CJ대한통운,000120,Level-up,2026-02-11,매수유지,정연승,NH투자증권,"154,000","74,500",815186
bad,78,-84,에이치브이엠,295310,1Q26 Review: 놀라운 수익성,2026-05-18,매수유지,홍예림,한국투자증권,"136,000","35,000",822518
bad,79,-84,PI첨단소재,178920,우리도 (F)PCB 밸류체인,2026-05-04,매수,양승수,메리츠증권,"32,000","17,820",820645
bad,80,-84,카카오게임즈,293490,기다림의 시간,2026-02-13,시장평균,김진구,키움증권,"16,000","7,970",815583
bad,81,-83,현대건설,000720,전쟁도 막지 못한,2026-04-08,매수유지,"송유림,김예인",한화투자증권,"200,000","94,600",818164
bad,82,-82,카카오게임즈,293490,경영권 교체 이후 시너지 검증 필요,2026-05-27,보유,오동환,삼성증권,"10,000","7,970",823270
bad,83,-82,미래에셋증권,006800,대장주의 위엄 확인 중,2026-02-10,단기매수,임희연,신한투자증권,"54,000","34,550",814991
bad,84,-82,한화솔루션,009830,정상화로 가는 중,2026-02-06,매수,"이진명,김명주",신한투자증권,"44,000","25,500",814468
bad,85,-81,SK하이닉스,000660,2Q26 영업이익 70조원 예상,2026-05-11,시장상회,박유악,키움증권,"1,900,000","1,718,000",821517
bad,86,-81,씨에스윈드,112610,아쉬운 타워 부문 vs. 생각보다 괜찮은 수익성,2026-02-19,매수유지,이진호,미래에셋증권,"52,000","37,300",815643
bad,87,-80,SK아이이테크놀로지,361610,1Q26 review : 캡티브 부진 영향 지속,2026-05-14,보유,"조현렬,김원영",삼성증권,"25,000","13,260",822208
bad,88,-79,제주항공,089590,재무 개선을 위한 잰걸음,2026-05-19,중립,류제현,미래에셋증권,"5,000","4,195",822622
bad,89,-78,전진건설로봇,079900,"일시적 부진, 이어질 편안한 성장",2026-05-29,매수,조대형,DS투자증권,"64,000","30,300",823559
bad,90,-78,한화오션,042660,기대 이상의 상선 수익률,2026-05-26,매수유지,오지훈,IBK투자증권,"141,000","85,200",823155
bad,91,-78,현대위아,011210,상반기 대비 개선된 하반기 기대,2026-05-19,중립,신영증권,신영증권,"83,000","58,200",822616
bad,92,-77,BNK금융지주,138930,최대실적 지속과 주주환원율 상향에도 PBR은 여전히 0.5배에 불과,2026-02-09,매수유지,김인,BNK투자증권,"20,000","15,170",814879
bad,93,-77,BNK금융지주,138930,4Q 실적: 실적 정상화 및 배당 증가 속도 충분히 매력적,2026-02-09,매수,"김재우,윤희재",삼성증권,"20,000","15,170",814731
bad,94,-76,DL이앤씨,375500,무난한 1분기,2026-04-08,매수유지,김승준,하나증권,"100,000","58,500",818045
bad,95,-74,SK아이이테크놀로지,361610,가동률 하락의 늪,2026-05-15,보유,황성현,유진투자증권,"22,500","13,260",822279
bad,96,-73,에코프로비엠,247540,이제 본업으로 승부 볼 차례,2026-04-30,단기매수,이현욱,IBK투자증권,"220,000","103,500",820363
bad,97,-73,에코프로비엠,247540,2028년 예상 P/E 86.3배,2026-04-30,보유,"정원석,박정하",iM증권,"220,000","103,500",820350
bad,98,-73,한화솔루션,009830,이제 안정적인 성장을 확인할 차례,2026-04-29,보유,한승재,DB증권,"51,000","25,500",820165
bad,99,-71,산일전기,062040,나도 이제 BE 벤더,2026-05-04,매수유지,"나민식,고서영",SK증권,"360,000","143,200",820732
bad,100,-71,산일전기,062040,"블룸 밸류체인 진입, 멀티플이 바뀐다",2026-05-04,매수유지,"손현정,김고은",유안타증권,"360,000","143,200",820605
bad,101,-71,아모레퍼시픽,090430,"COSRX 턴어라운드, 2026년 기대해 볼 만하다!",2026-02-09,매수,하희지,현대차증권,"170,000","130,000",814870
bad,102,-71,아모레퍼시픽,090430,4Q25 Review: 시장 대응력 탑재 완료,2026-02-09,매수,오린아,LS증권,"170,000","130,000",814816
